"dyadID","sex","pstatus15","pstatus16","pstatus17","pstatus18","pstatus19","pstatus20","pstatus21","pstatus22","pstatus23","pstatus24","pstatus25","pstatus26","pstatus27","pstatus28","pstatus29","pstatus30","pstatus31","pstatus32","pstatus33","pstatus34","pstatus35","pstatus36","pstatus37","pstatus38","pstatus39"
16,1,1,1,1,1,1,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,1,1,1,1,1,1,1,1,2,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
29,0,1,1,1,1,2,3,3,3,3,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3
31,0,1,1,1,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
43,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4
54,1,1,1,1,1,1,1,1,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
75,0,1,1,1,1,1,1,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
82,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5
94,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101,0,1,1,1,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
109,1,1,1,1,1,1,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
115,0,1,1,1,2,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
124,0,1,1,1,1,2,2,2,2,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,5
126,1,1,1,1,1,2,2,2,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
129,1,1,1,1,1,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
131,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
132,0,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
143,0,1,1,1,1,1,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
152,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
154,0,1,1,1,1,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
158,0,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5
184,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5
189,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
204,0,1,1,1,1,2,3,3,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
214,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
218,1,1,1,1,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
221,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
227,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5
248,0,1,1,1,1,1,1,2,3,6,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5
249,0,1,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,5,5,6,5,5,5,5,5,5
252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,5,5,5,5
261,0,1,1,1,1,1,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
266,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
275,1,1,1,1,1,1,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
277,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,5
282,0,1,1,1,1,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
291,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,6,6,6,6,6,6,6,6,6,6
300,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4
305,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
311,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5
315,0,1,1,1,1,1,1,1,1,2,2,2,6,6,6,6,6,2,3,3,3,3,4,4,4,5
323,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
341,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
344,1,1,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
353,1,1,1,1,1,1,1,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
368,1,1,1,1,1,1,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
379,0,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5
382,0,1,1,1,3,3,6,6,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
387,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4
388,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
406,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
410,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
417,0,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5
418,0,1,1,1,1,1,1,1,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
425,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
426,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
442,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
444,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,5
452,1,1,1,1,2,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
